kns_committee_id,kns_session_id,protocol_object_name,protocol_extension,text_object_name,parts_object_name
661,332891,protocols/original/661/332891.doc,doc,protocols/parsed/661/332891.txt,protocols/parsed/661/332891.csv
195,293623,protocols/original/195/293623.doc,doc,protocols/parsed/195/293623.txt,protocols/parsed/195/293623.csv
196,135469,protocols/original/196/135469.doc,doc,protocols/parsed/196/135469.txt,protocols/parsed/196/135469.csv
198,274565,protocols/original/198/274565.doc,doc,protocols/parsed/198/274565.txt,protocols/parsed/198/274565.csv
431,306979,protocols/original/431/306979.doc,doc,protocols/parsed/431/306979.txt,protocols/parsed/431/306979.csv
922,578468,protocols/original/922/578468.doc,doc,protocols/parsed/922/578468.txt,protocols/parsed/922/578468.csv
952,574182,protocols/original/952/574182.doc,doc,protocols/parsed/952/574182.txt,protocols/parsed/952/574182.csv
658,424336,protocols/original/658/424336.doc,doc,protocols/parsed/658/424336.txt,protocols/parsed/658/424336.csv
660,429604,protocols/original/660/429604.doc,doc,protocols/parsed/660/429604.txt,protocols/parsed/660/429604.csv
658,428732,protocols/original/658/428732.doc,doc,protocols/parsed/658/428732.txt,protocols/parsed/658/428732.csv
24,81024,protocols/original/24/81024.docx,docx,protocols/parsed/24/81024.txt,protocols/parsed/24/81024.csv
195,135107,protocols/original/195/135107.doc,doc,protocols/parsed/195/135107.txt,protocols/parsed/195/135107.csv
191,301683,protocols/original/191/301683.doc,doc,protocols/parsed/191/301683.txt,protocols/parsed/191/301683.csv
194,266150,protocols/original/194/266150.doc,doc,protocols/parsed/194/266150.txt,protocols/parsed/194/266150.csv
662,323097,protocols/original/662/323097.doc,doc,protocols/parsed/662/323097.txt,protocols/parsed/662/323097.csv
664,427969,protocols/original/664/427969.doc,doc,protocols/parsed/664/427969.txt,protocols/parsed/664/427969.csv
660,428002,protocols/original/660/428002.doc,doc,protocols/parsed/660/428002.txt,protocols/parsed/660/428002.csv
659,335421,protocols/original/659/335421.doc,doc,protocols/parsed/659/335421.txt,protocols/parsed/659/335421.csv
190,146224,protocols/original/190/146224.doc,doc,protocols/parsed/190/146224.txt,protocols/parsed/190/146224.csv
922,578240,protocols/original/922/578240.doc,doc,protocols/parsed/922/578240.txt,protocols/parsed/922/578240.csv
922,578018,protocols/original/922/578018.doc,doc,protocols/parsed/922/578018.txt,protocols/parsed/922/578018.csv
